Date,Store ID,Product ID,Units Sold,Sales Amount,Discount Applied,Customer Segment
2024-10-08,S005,P008,42,811.9558767365016,10.83,Regular
2024-10-25,S003,P008,72,3356.458016278734,13.09,Premium
2024-10-21,S004,P007,80,3217.220010427677,14.76,Premium
2024-10-25,S004,P010,9,408.4703236484111,0.0,Regular
2024-10-12,S002,P008,60,2996.3100713724825,0.6,Regular
2024-10-08,S005,P007,25,513.4426421169388,4.52,Regular
2024-10-29,S003,P008,79,3887.543608006773,5.27,New
2024-10-20,S002,P004,72,3003.305191434541,8.22,Premium
2024-10-28,S001,P001,80,1536.1617485095944,0.13,Regular
2024-10-10,S003,P008,42,1034.7281368743584,11.05,New
2024-10-07,S001,P002,29,1372.351925831961,10.33,New
2024-11-04,S002,P007,75,1391.0666908097414,12.53,Premium
2024-10-31,S004,P008,75,2990.31793672016,8.71,Regular
2024-11-01,S003,P004,99,2772.175805571017,7.99,New
2024-10-26,S001,P005,74,1167.194351541937,1.14,Regular
2024-11-05,S002,P009,58,2411.7924679164657,8.85,New
2024-11-02,S003,P008,12,248.4834203010716,4.44,Premium
2024-10-25,S001,P005,77,2756.1841032499265,1.71,Premium
2024-10-16,S002,P007,90,1290.128340358995,12.9,Premium
2024-10-22,S004,P010,82,1295.7428368200815,4.94,New
2024-10-24,S005,P009,24,6613.830063981846,14.33,New
2024-10-16,S005,P006,12,4105.948885518308,3.67,Regular
2024-10-16,S004,P008,25,269.9341301070628,12.07,Premium
2024-10-07,S005,P003,89,1263.6497927591386,4.49,Regular
2024-10-11,S001,P004,6,156.08559418424812,2.3,Premium
2024-11-04,S002,P006,22,677.4305446923586,6.47,New
2024-10-17,S005,P006,8,1924.4874789317903,2.36,Regular
2024-10-15,S005,P003,85,2816.078830555689,7.28,New
2024-10-28,S004,P009,62,1499.1688406512042,8.55,Regular
2024-10-11,S004,P005,18,575.8393763823274,4.69,New
2024-11-02,S005,P002,36,1629.8164002092226,6.56,Premium
2024-10-13,S001,P003,23,378.9937283878861,3.56,New
2024-10-10,S003,P007,47,1375.448204259728,0.0,Regular
2024-11-03,S003,P007,7,340.1915709735333,7.82,New
2024-10-10,S005,P006,4,71.02677324574867,2.1,Regular
2024-10-07,S002,P009,41,572.5564502738418,2.95,Regular
2024-10-07,S002,P005,49,670.74599311704,8.72,New
2024-10-22,S002,P010,17,312.5304495344205,11.73,Regular
2024-10-12,S005,P004,86,2162.2403626910627,4.9,Premium
2024-10-07,S005,P006,87,1517.9784648188904,4.82,New
2024-10-19,S004,P005,34,646.9956396146948,0.77,New
2024-11-05,S003,P009,81,2977.9342288524217,2.61,Premium
2024-10-15,S005,P005,21,618.8399358496969,7.66,New
2024-10-08,S004,P005,5,81.7185322896564,8.22,Regular
2024-10-30,S004,P008,22,431.8535987373448,10.48,Regular
2024-10-31,S005,P009,88,4085.769207371316,1.66,Regular
2024-10-18,S002,P007,78,1730.1214480677625,9.65,Premium
2024-11-03,S001,P005,28,1156.287586349584,11.74,Regular
2024-10-23,S002,P010,50,1172.1192283848247,5.65,New
2024-10-10,S005,P001,19,920.1252222808016,10.71,Regular
2024-10-19,S004,P009,44,840.8811674550649,0.0,Premium
2024-10-15,S005,P010,18,394.4845993824414,14.02,Premium
2024-10-08,S004,P005,32,905.1765160415744,2.84,Regular
2024-10-28,S002,P010,7,204.7920033760221,12.84,Premium
2024-10-13,S003,P004,21,345.48437784915126,7.73,Regular
2024-11-03,S004,P003,98,3522.1326720092866,1.05,Regular
2024-10-15,S002,P009,54,1015.234762487038,0.0,Regular
2024-10-12,S005,P007,31,954.242632386461,0.9,Premium
2024-10-21,S003,P002,49,853.0268243991057,5.12,Regular
2024-10-25,S005,P002,49,629.7361248828844,6.55,New
2024-10-18,S003,P009,80,28949.85371884514,4.03,Premium
2024-10-27,S003,P001,84,1859.882033654772,3.87,New
2024-11-03,S001,P010,26,650.048664046441,12.65,Premium
2024-10-09,S004,P001,52,1004.1846531287408,0.0,New
2024-10-14,S004,P010,69,2967.015430662282,0.7,New
2024-10-22,S001,P010,38,1041.717858492708,13.62,Regular
2024-10-15,S002,P006,15,693.5676999309503,5.48,New
2024-10-18,S004,P010,35,860.3327368264731,6.57,Premium
2024-10-20,S001,P001,3,127.0684460628378,6.24,New
2024-10-18,S002,P005,14,368.6429237127865,8.34,New
2024-10-09,S005,P005,57,1584.7869649327718,14.54,New
2024-10-25,S001,P002,9,438.4495301113971,4.08,Regular
2024-10-17,S005,P010,51,1149.0807495706383,11.27,Regular
2024-11-02,S003,P006,55,1278.2789401853877,4.49,Regular
2024-10-25,S001,P003,48,591.38492220742,13.44,Premium
2024-10-22,S003,P001,81,3228.742703688325,12.2,New
2024-10-20,S004,P004,79,28949.85371884514,7.18,Premium
2024-10-20,S002,P004,61,919.8902548564156,12.13,Premium
2024-10-21,S001,P010,71,3408.125529577031,12.33,Premium
2024-10-06,S002,P007,3,125.33407986710738,10.89,Premium
2024-10-06,S001,P005,51,1238.3561795269204,11.54,Premium
2024-10-20,S001,P007,25,1159.5901069019517,2.5,Regular
2024-11-05,S005,P009,83,2285.5388613246487,0.0,Regular
2024-10-09,S005,P004,20,438.9522580825893,12.45,Premium
2024-10-18,S005,P006,92,2267.749153154557,1.14,Premium
2024-10-28,S005,P004,42,12999.332552323867,0.0,Regular
2024-10-13,S003,P005,89,2152.713250002571,7.08,New
2024-10-06,S002,P009,13,223.13471673005316,9.55,New
2024-10-11,S005,P004,65,3066.099767208578,4.62,Regular
2024-10-09,S001,P001,58,953.5802938237704,7.39,Premium
2024-11-05,S005,P001,4,67.93361865680058,12.01,Premium
2024-11-03,S002,P010,47,1570.7757247610868,0.0,Regular
2024-10-11,S003,P001,92,2247.1540465914773,12.66,New
2024-10-23,S004,P001,85,4012.493491695152,12.48,New
2024-10-12,S003,P002,66,2245.8233692444046,5.51,Regular
2024-10-25,S001,P007,75,28949.85371884514,1.68,Regular
2024-10-29,S004,P010,9,310.34389528548706,7.18,Regular
2024-10-16,S005,P002,12,365.3098469155085,6.95,Regular
2024-10-09,S002,P007,42,1987.762161989669,3.91,New
2024-10-10,S005,P002,38,1866.469104321057,1.77,Regular
2024-10-13,S002,P005,74,2718.564547401241,3.84,New
2024-10-17,S005,P008,35,1645.5315922283094,11.98,New
2024-10-24,S005,P004,40,900.976353490409,1.11,Premium
2024-10-15,S001,P006,11,421.5046939735754,1.49,New
2024-10-29,S003,P010,81,1775.056379396255,0.0,New
2024-10-10,S002,P006,31,491.8952082800777,10.51,New
2024-10-23,S003,P005,56,1834.511029927775,10.52,Premium
2024-10-29,S004,P001,14,6212.439224469788,8.34,Regular
2024-10-11,S005,P003,93,4378.958342219728,0.0,Premium
2024-10-26,S004,P003,31,1462.9270476828408,11.1,Premium
2024-10-31,S001,P008,50,2116.3502321746373,4.97,New
2024-10-31,S002,P003,21,375.1592500022397,1.11,New
2024-10-11,S003,P004,74,1456.8738411856152,13.22,Regular
2024-10-26,S001,P009,54,2334.958370994051,8.35,Premium
2024-10-27,S005,P004,20,394.0163613898392,14.38,Regular
2024-11-01,S004,P009,62,668.9096673061467,10.31,Premium
2024-10-24,S004,P009,83,1219.4287983410586,9.62,New
2024-10-10,S005,P008,61,1335.110580484097,2.17,Premium
2024-10-27,S002,P010,97,1768.7836877456773,0.84,Regular
2024-11-04,S005,P003,73,2649.7441517854736,10.56,Premium
2024-10-27,S001,P003,22,855.5813885296134,11.39,Regular
2024-10-24,S001,P004,64,1496.92549262786,13.57,Regular
2024-11-04,S005,P006,96,2236.710717013344,0.0,Regular
2024-10-11,S005,P007,59,1439.613580642969,7.86,New
2024-10-08,S004,P003,36,494.8018475629074,14.26,Regular
2024-10-11,S004,P002,75,28949.85371884514,0.27,Regular
2024-10-16,S004,P010,12,211.73739282635395,4.42,Premium
2024-11-05,S002,P005,21,724.4042770178662,8.81,Premium
2024-10-06,S004,P004,71,3284.243141952533,6.15,Premium
2024-10-10,S001,P003,97,2774.158461846628,3.13,Regular
2024-10-11,S004,P008,31,462.8257495448518,14.58,Regular
2024-10-30,S005,P004,84,1634.9627840791047,6.29,Premium
2024-10-11,S002,P006,31,7330.043003989732,5.45,Premium
2024-10-15,S004,P002,26,748.9661007388349,0.0,Regular
2024-10-23,S004,P006,5,195.95895794131303,11.47,Premium
2024-10-06,S001,P007,81,2851.112044570862,8.18,Regular
2024-10-26,S004,P009,33,1261.5259066250867,7.93,New
2024-10-06,S005,P010,36,1393.419668674488,1.42,Premium
2024-10-22,S003,P001,93,2052.868237353181,8.87,New
2024-10-22,S003,P002,36,441.8830385718285,3.59,Regular
2024-11-02,S005,P006,52,1566.8303180024045,9.79,New
2024-10-14,S002,P002,70,2371.9964650634925,0.0,New
2024-10-14,S001,P009,4,1341.2626719429256,14.41,Regular
2024-10-25,S002,P009,89,28949.85371884514,14.01,Premium
2024-10-27,S001,P001,44,1656.0245656862708,2.23,New
2024-10-24,S003,P010,62,2185.520674106025,8.44,New
2024-10-08,S005,P009,18,297.9059331736073,8.83,Regular
2024-10-18,S003,P002,89,2616.4888376373783,0.0,Premium
2024-10-15,S004,P004,12,493.3236202124308,13.53,Regular
2024-11-03,S002,P004,14,282.50473486941934,11.14,New
2024-10-27,S001,P009,69,3267.071598222827,9.85,Premium
2024-10-12,S003,P007,65,2218.4114980470204,11.22,Premium
2024-10-20,S001,P007,49,2294.7955627420147,11.05,New
2024-10-15,S003,P007,58,2178.9292188489094,11.07,New
2024-11-01,S001,P006,43,1850.7536587170005,4.24,Premium
2024-10-08,S001,P002,22,1090.2427228882548,3.8,Premium
2024-10-06,S002,P003,12,373.80870916678487,5.78,New
2024-10-16,S003,P008,73,2955.694301278242,10.76,Premium
2024-10-23,S004,P005,58,2035.5394606414816,13.5,Regular
2024-11-02,S003,P010,28,10110.551739810388,12.33,New
2024-10-16,S002,P010,62,2658.938891185053,8.3,Regular
2024-10-14,S005,P010,48,652.634182811475,0.0,New
2024-10-12,S003,P004,37,639.1217153634939,6.83,Premium
2024-10-29,S001,P003,72,3104.6450456684065,7.12,New
2024-10-18,S001,P002,40,1473.969830409137,2.83,Premium
2024-11-02,S003,P001,69,822.9189528173935,0.21,Premium
2024-10-26,S001,P007,36,1165.5160833798675,4.74,New
2024-11-03,S005,P008,70,1711.7242745171147,8.92,Premium
2024-10-10,S004,P007,74,1364.8277247725578,9.67,New
2024-10-06,S001,P004,88,1757.7891324050784,11.36,Regular
2024-10-25,S003,P010,28,1204.7949753527716,13.77,Premium
2024-10-11,S003,P010,27,1215.233767420667,0.08,New
2024-10-06,S001,P006,46,2097.837292181754,14.79,Premium
2024-10-29,S003,P006,88,3415.456793931235,13.39,New
2024-10-09,S001,P003,34,1569.1730992384637,11.09,Premium
2024-10-14,S003,P002,99,3537.07049839674,0.0,Premium
2024-10-11,S003,P005,17,773.1228758332834,3.36,Regular
2024-10-08,S005,P010,68,2853.3578874308537,0.0,Premium
2024-10-16,S004,P010,76,27144.34479532185,3.7,Premium
2024-11-01,S004,P010,31,401.64280575961584,3.45,New
2024-10-14,S005,P001,20,967.2900930336708,10.64,Premium
2024-11-03,S004,P006,92,928.9028140839724,1.76,Regular
2024-10-29,S004,P006,30,1249.293636629132,2.62,Premium
2024-10-21,S001,P004,91,3894.525167102415,8.81,Regular
2024-10-25,S003,P008,39,1171.8007602441508,5.21,Premium
2024-10-13,S004,P007,64,2525.4876089376185,0.0,New
2024-10-19,S003,P009,3,103.6915313884546,0.0,Regular
2024-10-24,S004,P008,56,1757.5495937761043,0.28,Premium
2024-10-08,S002,P006,6,67.93361865680058,7.91,Regular
2024-10-31,S002,P009,30,926.3602035876216,6.88,New
2024-10-09,S002,P009,79,3226.3894983241184,4.37,New
2024-10-20,S001,P007,91,2180.2620056342694,6.11,New
2024-10-11,S004,P009,18,191.20961904790613,14.84,Regular
2024-10-20,S003,P007,85,2711.959709750692,8.03,Regular
2024-10-12,S003,P001,33,793.8633904180717,3.33,New
2024-10-22,S003,P010,52,1059.6149498237223,1.58,Premium
2024-10-24,S002,P001,10,258.0672271531302,11.6,Premium
2024-10-12,S005,P003,47,18357.840036713576,14.66,Premium
2024-10-18,S001,P006,47,1228.017031171121,0.9,Premium
2024-10-21,S003,P010,88,3624.155454745098,3.45,Regular
2024-10-10,S003,P001,18,452.6598741297612,7.64,Regular
2024-10-30,S002,P009,13,431.0095165981009,6.21,New
2024-11-02,S003,P006,11,125.83690713825432,11.26,Regular
2024-10-26,S003,P009,88,2280.386424967788,5.48,Regular
2024-10-12,S005,P001,68,2441.90530820256,3.84,New
2024-10-31,S004,P004,35,1684.3123287978178,4.9,New
2024-10-18,S003,P002,23,692.0538476328594,13.32,Premium
2024-10-19,S004,P003,30,1291.2531024621685,8.45,Premium
2024-10-22,S003,P008,50,1256.7993239887833,0.22,Regular
2024-10-18,S001,P008,19,227.2661218102625,3.45,Premium
2024-10-18,S003,P009,43,1116.9523744024218,4.23,Premium
2024-11-03,S002,P004,95,4134.53071151717,4.66,Premium
2024-11-01,S005,P009,1,67.93361865680058,13.35,Premium
2024-10-15,S001,P007,24,805.1110102212857,0.76,Regular
2024-10-21,S003,P006,33,1625.4840631395334,0.0,Regular
2024-10-31,S004,P006,97,3982.287455184749,3.96,New
2024-11-03,S004,P001,78,1607.3009220001666,4.35,Regular
2024-10-13,S002,P004,38,1681.3974961662009,2.64,New
2024-10-30,S004,P002,9,370.2581179342302,2.51,New
2024-10-26,S001,P003,53,1416.5112010250964,7.85,Premium
2024-10-23,S002,P007,83,2829.8280319017736,3.77,Regular
2024-10-24,S005,P010,88,2205.956719547898,3.2,Regular
2024-10-13,S002,P001,49,2183.589995157773,0.87,Regular
2024-10-08,S002,P008,37,986.145114468804,4.88,Regular
2024-10-17,S005,P009,31,1306.6893756908516,12.45,Regular
2024-10-27,S004,P004,99,4269.980666466835,0.27,Premium
2024-10-21,S003,P002,61,646.7863702196503,12.25,New
2024-10-09,S003,P001,15,503.73072031014703,5.19,Regular
2024-10-06,S005,P005,18,621.2838194634076,13.71,Regular
2024-10-21,S004,P006,15,469.45742036626496,14.15,Regular
2024-11-04,S005,P002,58,2635.744878384144,4.21,Regular
2024-10-30,S002,P007,62,2701.656693679604,7.39,New
2024-10-27,S005,P007,79,1035.6496218829468,11.03,Premium
2024-10-21,S001,P005,50,1753.7551571131928,2.19,Premium
2024-10-26,S002,P007,9,242.07038786304244,10.5,Regular
2024-10-30,S003,P006,74,3532.878244026739,3.68,New
2024-10-07,S005,P010,79,1784.6678233839575,14.5,Premium
2024-10-09,S001,P007,78,907.4317734531812,14.35,Regular
2024-10-17,S005,P009,88,3411.418002402467,11.16,New
2024-10-10,S003,P007,11,150.29516827246024,14.9,New
2024-10-22,S001,P001,93,4338.621350662188,8.45,Regular
2024-10-26,S004,P003,41,17365.400156854193,5.85,New
2024-10-16,S003,P004,65,1559.2950078728963,14.05,Regular
2024-10-07,S002,P002,7,3171.0858524126124,7.87,New
2024-10-10,S004,P001,33,947.4712823612238,1.31,Premium
2024-11-05,S002,P006,47,637.7702150912658,14.4,Regular
2024-10-20,S002,P003,90,941.25411007302,0.53,New
2024-10-27,S005,P007,79,1234.3459529068348,3.26,Premium
2024-10-12,S004,P004,25,1089.927150879695,13.61,Regular
2024-10-29,S002,P009,21,489.9479333062392,10.55,Premium
2024-11-03,S005,P008,19,831.1516545297671,8.83,Regular
2024-10-30,S005,P001,24,921.072846036783,8.54,Regular
2024-10-19,S001,P001,62,1965.6281701500577,14.79,Premium
2024-10-27,S003,P010,21,572.3092959570369,12.31,Premium
2024-10-28,S003,P001,67,1994.337718241114,13.63,Regular
2024-10-23,S004,P003,4,75.51486119256776,0.75,Regular
2024-10-17,S001,P004,60,1933.3443254150352,3.65,Regular
2024-10-22,S005,P003,40,1750.439218830616,9.07,Premium
2024-10-29,S004,P008,43,1370.0117089076855,8.83,New
2024-10-12,S003,P007,49,1649.9952342285037,0.0,New
2024-10-10,S002,P009,17,677.3338179052321,1.42,New
2024-10-14,S003,P003,27,1296.3370813542765,11.95,Regular
2024-10-19,S001,P006,65,2652.28614565854,4.28,Regular
2024-10-06,S003,P002,8,3237.6801853336,3.7,Regular
2024-10-18,S001,P010,66,2635.450165513154,0.0,New
2024-11-02,S003,P010,52,1351.5346418866304,10.7,Regular
2024-10-08,S001,P001,92,4239.099060036947,12.59,New
2024-10-29,S003,P010,74,3626.392265471181,13.66,Premium
2024-10-11,S002,P006,79,2236.790729846863,13.97,New
2024-11-03,S005,P005,36,536.3059794764681,3.73,Premium
2024-10-20,S005,P004,23,891.241666820125,9.45,Regular
2024-10-24,S003,P001,20,570.1037928495317,0.0,Regular
2024-10-09,S002,P010,7,332.96149668315536,13.36,Premium
2024-10-08,S003,P007,35,747.761096728647,4.86,Premium
2024-10-06,S004,P008,54,1696.8773098896238,3.58,Premium
2024-11-02,S005,P004,36,1152.7211390284713,0.32,New
2024-10-21,S001,P002,60,845.5289473797576,5.32,Premium
2024-10-12,S002,P006,92,2882.973545984919,11.12,New
2024-10-07,S002,P001,15,178.43255751966404,9.31,Premium
2024-10-08,S001,P003,86,1689.5290047324402,10.08,New
2024-10-18,S001,P010,13,201.6294486475672,1.65,Premium
2024-10-17,S002,P002,18,558.9013068099746,7.4,New
2024-10-10,S005,P008,20,206.8818497889427,1.67,Premium
2024-10-30,S003,P008,5,114.07618355527076,5.7,Regular
2024-10-12,S004,P010,68,3191.171792528776,8.5,Regular
2024-10-27,S005,P007,35,1241.3105481830382,10.42,New
2024-10-26,S001,P005,28,1343.899012504029,14.92,New
2024-10-17,S003,P007,51,941.9322324304432,0.0,Regular
2024-10-24,S004,P009,24,542.5492546478507,11.4,New
2024-10-07,S001,P004,17,288.5230196377996,2.18,Regular
2024-10-09,S005,P001,20,316.1736207524089,10.79,Premium
2024-10-29,S004,P009,32,563.2732907040572,0.49,Premium
2024-10-27,S001,P004,30,385.2549170287258,8.79,Premium
2024-10-06,S001,P004,21,418.63352126033885,5.45,Premium
2024-10-24,S003,P010,26,706.1946779107444,10.35,Regular
2024-11-03,S002,P003,55,2001.9063006691172,14.56,New
2024-10-17,S002,P002,52,1037.3191260913416,1.61,Regular
2024-10-10,S003,P005,15,530.665083085288,11.26,Regular
2024-10-29,S005,P010,5,215.93282088166524,12.92,New
2024-10-19,S004,P003,98,1472.200908311295,10.76,New
2024-10-23,S002,P009,39,1776.7113728317918,9.77,Premium
2024-10-22,S002,P002,1,67.93361865680058,0.86,Regular
2024-10-08,S003,P001,55,2619.086420129841,3.55,New
2024-10-13,S001,P003,92,4031.621174665193,0.54,Premium
2024-10-21,S002,P004,66,2965.6794835263654,0.0,Premium
2024-10-20,S002,P002,34,465.90700566530586,4.18,Premium
2024-10-30,S003,P008,18,548.4581832937705,1.98,Regular
2024-10-22,S002,P010,65,1737.7174784325944,12.61,Premium
2024-10-07,S005,P009,74,2902.5474318655843,3.26,Premium
2024-10-26,S004,P004,7,281.2167405389213,4.53,New
2024-10-29,S005,P005,53,587.683232062633,14.07,New
2024-10-22,S002,P003,38,1323.1943983027786,9.45,Premium
2024-10-21,S003,P003,64,1783.614610537712,6.89,New
2024-10-24,S004,P007,33,878.8427295290435,9.48,New
2024-11-05,S004,P003,13,165.40930575131864,12.32,Premium
2024-10-26,S005,P010,78,935.5565771877287,0.63,Premium
2024-10-25,S002,P004,14,202.2338383211228,0.0,New
2024-10-27,S001,P006,78,1747.165333740291,10.84,Premium
2024-10-17,S005,P006,15,228.8910076606818,13.78,Premium
2024-10-30,S004,P010,85,1908.3115373278065,8.31,New
2024-10-27,S003,P009,20,999.3131104280236,2.62,Regular
2024-10-30,S003,P005,66,2757.5213001139537,5.95,Regular
2024-10-18,S002,P003,93,2885.5098547592333,8.38,Regular
2024-10-14,S004,P006,69,2451.217656274117,11.17,New
2024-11-05,S004,P003,99,1808.3514636631344,6.48,New
2024-10-12,S002,P008,79,1152.5000347302628,0.0,Regular
2024-10-20,S004,P003,29,1134.8692744155303,0.0,New
2024-10-22,S003,P007,6,104.7676447921556,6.46,Regular
2024-10-09,S005,P006,13,294.47393936970013,1.55,Regular
2024-10-24,S001,P005,28,291.79436160876384,10.33,Regular
2024-11-05,S004,P003,36,1770.2673093150847,9.7,Premium
2024-10-19,S002,P003,63,1838.096834971222,8.63,Premium
2024-10-24,S002,P007,53,2390.000797625372,14.51,Regular
2024-11-01,S004,P008,51,1587.9649347252523,11.48,Regular
2024-10-10,S001,P010,69,1602.4195669485,12.09,New
2024-11-04,S004,P006,93,1162.7878521843352,14.84,New
2024-10-29,S005,P009,52,2545.263011001342,0.0,Regular
2024-10-20,S002,P010,51,1869.183481523808,6.52,Regular
2024-11-02,S003,P003,50,524.4211258320004,12.0,New
2024-10-23,S005,P003,40,1508.6805148945805,9.79,Premium
2024-10-30,S005,P002,37,715.2246545261171,5.21,Premium
2024-10-18,S004,P001,64,1880.118667055432,9.18,New
2024-10-06,S001,P006,36,1304.3040598566436,8.92,Regular
2024-10-23,S005,P003,15,174.52303149258444,14.58,Premium
2024-11-05,S003,P007,52,2391.88020159046,11.57,New
2024-10-13,S004,P006,61,2581.762444943927,13.03,Premium
2024-10-27,S005,P004,72,2125.9951467404235,4.7,Premium
2024-10-18,S004,P004,27,638.9437426666367,6.01,Premium
2024-10-30,S004,P008,83,3561.341152878671,7.0,Regular
2024-10-25,S004,P003,74,1942.726940946667,11.4,Premium
2024-10-28,S002,P002,47,1231.686815650519,13.84,Regular
2024-11-03,S003,P007,99,1098.596152346837,14.91,Regular
2024-11-02,S001,P009,33,1436.6493854506125,9.31,Premium
2024-10-26,S001,P010,66,2713.068298704869,2.22,Premium
2024-11-01,S005,P001,75,3334.4504486955384,4.9,Premium
2024-10-22,S002,P004,20,677.7231455170028,1.05,New
2024-11-02,S005,P001,69,18536.920679710416,3.79,Regular
2024-10-12,S004,P004,28,585.7203419909079,14.56,Regular
2024-10-17,S005,P003,53,1092.7176381145405,12.8,New
2024-10-16,S003,P006,66,1024.8353991133529,8.93,Premium
2024-10-25,S003,P002,94,2855.78035517269,6.99,Regular
2024-10-28,S005,P010,95,3334.4146254721377,14.92,Premium
2024-11-03,S003,P004,89,1956.254184051267,6.58,Premium
2024-10-28,S003,P010,5,164.66574561682634,8.0,Premium
2024-11-02,S005,P006,21,408.87324850339496,0.0,Regular
2024-10-23,S005,P006,78,2639.465828452668,2.53,New
2024-10-12,S001,P005,50,1724.0247573564754,14.46,Regular
2024-10-10,S001,P006,84,3742.067295974222,11.95,New
2024-10-25,S004,P009,97,4503.59451142568,3.61,Premium
2024-10-31,S003,P004,72,2650.091117063631,1.43,Regular
2024-10-22,S002,P004,76,2759.0640016792804,6.53,New
2024-10-17,S002,P003,97,4145.373314091369,2.28,Regular
2024-11-04,S004,P004,98,4816.657807746688,2.78,Regular
2024-10-24,S004,P004,39,829.0064287916208,1.44,New
2024-10-15,S004,P003,19,811.4134680969239,3.72,New
2024-10-27,S002,P003,56,2686.044092574544,0.0,New
2024-10-22,S003,P006,94,979.6035012276304,9.94,Regular
2024-10-09,S001,P004,60,1054.479367997984,1.67,Regular
2024-10-23,S001,P009,11,423.66514420756266,0.86,Regular
2024-10-26,S002,P004,53,1173.7908586384124,11.03,Regular
2024-10-28,S003,P008,44,576.862727721941,9.87,New
2024-10-17,S004,P009,85,1575.016636908504,7.34,Regular
2024-10-06,S004,P010,16,582.8313266221423,11.62,Regular
2024-11-03,S005,P010,25,7071.983450284115,3.44,Premium
2024-10-29,S004,P002,68,1310.3529183829728,6.59,New
2024-10-29,S003,P008,46,2286.089078293528,6.22,Premium
2024-10-19,S001,P008,19,466.5614695561453,14.31,New
2024-10-09,S002,P001,19,285.10712068279247,11.99,New
2024-10-14,S003,P006,38,1838.1171250822324,11.68,Premium
2024-11-03,S002,P005,34,1231.5440427491908,12.77,Premium
2024-10-23,S004,P009,17,471.0353998047601,1.11,New
2024-10-26,S003,P010,27,1250.5680810167698,2.06,Regular
2024-10-23,S004,P002,95,3117.333557021935,2.9,New
2024-10-22,S001,P005,6,224.06927716322187,0.37,New
2024-10-25,S002,P005,95,2150.393314387509,14.03,Regular
2024-11-05,S003,P005,94,2066.563002070426,8.14,Regular
2024-10-30,S003,P009,60,638.0957133016216,11.32,Premium
2024-10-09,S004,P004,79,2760.193652157765,6.19,Regular
2024-10-24,S005,P005,7,224.15091039114756,8.93,Premium
2024-11-02,S003,P010,62,2035.021244474947,1.71,New
2024-11-05,S001,P007,65,1534.2168900656002,12.62,Premium
2024-10-30,S001,P010,3,115.75199201808012,11.95,Regular
2024-10-11,S004,P006,93,4218.75732371082,9.88,Premium
2024-10-21,S005,P003,17,303.1049612645017,12.9,Regular
2024-10-12,S002,P005,16,436.93556353950873,1.63,Premium
2024-10-17,S003,P002,44,21206.242727392768,7.53,Premium
2024-10-29,S003,P009,41,744.2585215342684,4.68,New
2024-10-21,S002,P010,82,1758.508168766715,6.11,Premium
2024-10-30,S005,P002,75,3204.6658582377595,3.3,Regular
2024-10-10,S002,P004,25,366.1052669657211,0.0,New
2024-10-29,S001,P008,95,1072.9881813774746,12.78,Regular
2024-10-28,S003,P001,13,143.33196537651517,0.19,Regular
2024-10-18,S002,P001,1,67.93361865680058,9.69,Regular
2024-11-02,S005,P005,27,474.5507772381919,11.97,Regular
2024-10-22,S002,P009,21,981.7015888675004,2.81,New
2024-10-21,S001,P008,39,1365.2816109061769,13.75,Regular
